ID, Label, Wikipedia
Q360338,"Arvid Gerhard Damm","Arvid Gerhard Damm"
Q360383,"Gil Vicente","Gil Vicente"
Q360394,"Antoine Predock","Antoine Predock"
Q360410,"Riccardo Rognoni","Riccardo Rognoni"
Q360433,"Franklin Chang Díaz","Franklin Chang Díaz"
Q360466,"George Cruikshank","George Cruikshank"
Q360469,"Charles III, Duke of Parma","Charles III, Duke of Parma"
Q360642,"Kevin Williamson","Kevin Williamson (screenwriter)"
Q360737,"Andrew Niccol","Andrew Niccol"
Q360792,"Rashid al-Ghannushi","Rached Ghannouchi"
Q360832,"Nicanor Parra Sandoval","Nicanor Parra"
Q360945,"Adolf Bernhard Marx","Adolf Bernhard Marx"
Q360961,"Natan Sharansky","Natan Sharansky"
Q361004,"Edmond François Valentin About","Edmond François Valentin About"
Q361071,"Pyotr Nikiforov","Pyotr Nikiforov"
Q361238,"Robert Loggia","Robert Loggia"
Q361268,"Adolf Alexander Dillens","Adolf Alexander Dillens"
Q361276,"Aspar","Aspar"
Q361308,"Matthew F. Leonetti","Matthew F. Leonetti"
Q361386,"Edward Frankland","Edward Frankland"
Q361396,"Leon Kossoff","Leon Kossoff"
Q361403,"Mikael Antonsson","Mikael Antonsson"
Q361443,"Bud Yorkin","Bud Yorkin"
Q361617,"E. B. White","E. B. White"
Q361642,"Marek Grechuta","Marek Grechuta"
Q361740,"Adolphus Frederick V, Grand Duke of Mecklenburg-Strelitz","Adolphus Frederick V, Grand Duke of Mecklenburg-Strelitz"
Q361802,"Göran Liljestrand","Göran Liljestrand"
Q361839,"Adolf Germann","Adolf Germann"
Q362016,"Stefano di Giovanni","Stefano di Giovanni"
Q362129,"Ivan Kostov","Ivan Kostov"
Q362132,"Cesare Siepi","Cesare Siepi"
Q362254,"Takuya Kimura","Takuya Kimura"
Q362333,"Phil Manzanera","Phil Manzanera"
Q362353,"Vincent Gallo","Vincent Gallo"
Q362442,"Arthur William Radford","Arthur W. Radford"
Q362522,"Buster Bailey","Buster Bailey"
Q362550,"William Rutherford Mead","William Rutherford Mead"
Q362594,"Nicolas Chauvin","Nicolas Chauvin"
Q362618,"Adolph I","Adolph I, Duke of Cleves"
Q362664,"Adolf van der Mark","Adolph II de la Marck (Bishop)"
Q362697,"Freddy Rodriguez","Freddy Rodriguez (actor)"
Q362737,"Wilbur de Paris","Wilbur de Paris"
Q362746,"Géza Bereményi","Géza Bereményi"
Q362798,"Adolf Jensen","Adolf Jensen"
Q362828,"Aleksandr Tvardovsky","Aleksandr Tvardovsky"
Q362948,"James Mancham","James Mancham"
Q362952,"Adolf Klein","Adolf Klein"
Q363137,"Gustav Adolf Lenk","Gustav Adolf Lenk"
Q363184,"Adolf Lohse","Adolf Lohse"
Q363257,"Claudio Reyna","Claudio Reyna"
Q363308,"Walker Evans","Walker Evans"
Q363417,"Adolf Meyer","Adolf Meyer (psychiatrist)"
Q363488,"Simon Stephens","Simon Stephens"
Q363545,"Carl Wilhelm Cederhielm","Carl Wilhelm Cederhielm"
Q363640,"Adolf Remelé","Adolf Remelé"
Q363744,"Kurious","Kurious"
Q363867,"Frankie Carle","Frankie Carle"
Q363889,"Raymond Oliver","Raymond Oliver"
Q363927,"José Eduardo Agualusa","José Eduardo Agualusa"
Q363965,"Robert T. A. Innes","Robert T. A. Innes"
Q363970,"Yves Congar","Yves Congar"
Q363989,"Paul Schrader","Paul Schrader"
Q364038,"Adolf Rusch","Adolf Rusch"
Q364062,"Léon Brillouin","Léon Brillouin"
Q364083,"Louis Jourdan","Louis Jourdan"
Q364087,"Arvo Volmer","Arvo Volmer"
Q364118,"Adolf Schirmer","Adolf Schirmer"
Q364153,"Gerard Reve","Gerard Reve"
Q364184,"Adolf Schreyer","Adolf Schreyer"
Q364240,"Adolf Seel","Adolf Seel"
Q364278,"Bartolomeo Eustachi","Bartolomeo Eustachi"
Q364315,"Jacques Attali","Jacques Attali"
Q364350,"Hubert van Eyck","Hubert van Eyck"
Q364498,"David d'Angers","David d'Angers"
Q364528,"Nino Baragli","Nino Baragli"
Q364556,"Johnston Forbes-Robertson","Johnston Forbes-Robertson"
Q364582,"Tullio Kezich","Tullio Kezich"
Q364658,"Henry Tonks","Henry Tonks"
Q364662,"Adolf Zimmermann","Adolf Zimmermann"
Q364672,"Adolf des Coudres","Adolf Des Coudres"
Q364808,"Adolf von Hildebrand","Adolf von Hildebrand"
Q364854,"Christian Sinding","Christian Sinding"
Q364869,"Mel Collins","Mel Collins"
Q364965,"Adolfas Šleževičius","Adolfas Šleževičius"
Q364988,"Gerald Bull","Gerald Bull"
Q364994,"Adolfo Ballivián","Adolfo Ballivián"
Q365071,"Adolfo Fumagalli","Adolfo Fumagalli"
Q365209,"Konstantinos Tsatsos","Konstantinos Tsatsos"
